股票,2016年3月,2016年2月,2016年1月,2015年12月,2015年11月,2015年10月,2015年9月,2015年8月,2015年7月,2015年6月,2015年5月,2015年4月
深振业A,2,0,0,0,0,0,0,1,1,1,0,2
深物业A,0,0,0,0,0,0,0,0,0,0,0,0
沙河股份,0,0,0,0,0,0,0,0,0,0,0,0
深中华A,0,0,0,0,0,0,0,0,0,0,0,0
深深宝A,0,0,0,0,0,0,0,0,0,0,0,0
深圳能源,0,0,1,0,0,0,2,0,0,0,0,1
深深房A,0,0,0,0,0,0,0,0,0,0,0,0
富奥股份,0,0,0,0,0,0,0,0,0,1,1,2
中集集团,4,0,0,0,0,3,2,4,2,2,1,5
中航地产,5,0,2,1,1,0,0,2,0,0,0,0
深纺织A,0,0,0,0,0,0,0,0,0,0,1,0
农产品,0,1,0,3,1,1,0,2,0,1,0,5
盐田港,0,0,0,0,0,0,0,0,0,0,0,0
广聚能源,0,0,0,0,0,0,0,0,0,0,0,0
中信海直,6,0,0,2,0,2,1,2,0,0,1,1
TCL集团,1,3,3,5,0,10,1,9,6,1,7,13
中成股份,0,0,0,0,0,0,0,0,0,0,0,0
美的集团,37,1,5,3,1,11,3,18,6,5,0,15
潍柴动力,3,0,0,0,1,0,0,2,0,1,0,2
许继电气,11,0,1,0,1,4,3,9,1,0,3,3
冀东水泥,0,0,1,0,0,2,0,5,0,0,0,15
金融街,1,0,0,1,3,0,2,1,0,0,0,4
华意压缩,3,0,0,0,0,1,0,1,0,0,0,1
小天鹅A,10,2,3,3,1,6,0,9,0,0,1,8
通程控股,0,0,0,0,0,0,0,1,0,0,0,0
湖北宜化,0,0,0,0,0,0,0,0,0,0,0,0
东阿阿胶,15,1,0,2,5,11,1,13,0,1,0,9
华天酒店,1,0,2,2,0,0,0,0,0,0,1,1
晨鸣纸业,15,0,5,1,5,14,0,5,1,2,1,7
山东路桥,4,0,0,0,0,0,0,1,0,2,1,1
鄂武商A,0,0,0,0,2,1,0,6,0,0,0,7
岭南控股,7,1,0,0,0,0,1,5,0,2,0,0
柳工,0,0,0,0,0,0,0,0,0,0,0,0
穗恒运A,0,0,0,0,0,0,0,0,0,0,0,0
广宇发展,0,0,0,0,0,0,0,0,0,0,0,0
云南白药,0,0,0,0,5,2,0,13,0,0,0,11
湖南投资,0,0,0,0,0,0,0,0,0,0,0,0
江铃汽车,9,0,3,1,4,6,2,5,4,1,3,8
泰山石油,0,0,0,1,0,0,0,0,0,0,0,0
万向钱潮,0,1,0,1,0,1,1,0,1,0,0,0
烽火电子,0,0,1,1,0,0,0,0,0,0,1,1
泸州老窖,4,1,6,18,4,11,2,19,4,2,1,13
苏常柴A,0,0,0,0,0,0,0,0,0,0,0,0
海马汽车,0,0,0,0,0,0,0,0,0,0,0,1
粤宏远A,0,0,0,0,0,0,0,0,0,0,0,0
广东甘化,0,0,0,0,0,0,0,0,0,0,0,0
古井贡酒,11,1,0,1,2,6,1,13,1,1,2,6
兴蓉环境,7,0,2,0,0,3,0,1,3,0,0,3
大东海A,1,0,0,0,0,0,0,0,1,0,0,0
海螺型材,2,0,0,0,0,0,0,2,0,0,0,0
顺发恒业,0,0,0,1,0,0,0,0,0,0,0,0
英力特,0,0,0,0,0,0,0,0,0,0,0,0
茂化实华,0,0,0,0,0,0,0,0,0,0,0,1
西王食品,2,0,0,0,0,3,5,8,4,4,0,2
泰达股份,0,0,0,0,0,0,0,0,0,0,0,0
长春高新,8,0,1,0,0,3,1,6,0,1,1,6
襄阳轴承,0,1,0,1,0,0,0,0,0,0,1,0
山推股份,0,0,1,0,0,0,0,0,0,0,0,0
东方电子,0,0,0,0,0,0,0,0,0,0,0,0
正虹科技,0,0,0,0,0,0,0,0,0,0,0,0
浙江震元,0,0,0,0,0,0,0,0,0,0,1,1
丰乐种业,0,0,0,0,0,0,0,0,0,0,0,0
湖南发展,2,0,0,0,4,0,0,1,0,1,0,0
燕京啤酒,0,1,1,1,1,3,0,8,1,0,2,5
四川美丰,1,0,0,0,0,1,0,1,1,0,0,1
罗牛山,0,0,0,0,0,0,0,0,0,0,0,0
中色股份,0,0,5,0,5,0,1,14,3,3,1,7
中百集团,7,5,2,1,1,5,0,5,0,1,0,3
西藏矿业,0,0,0,0,0,0,0,1,0,0,0,0
中核科技,1,0,0,0,0,1,0,1,0,0,0,0
武汉中商,0,0,0,0,0,1,0,0,0,0,1,0
万年青,2,0,0,0,2,0,0,5,0,2,0,4
甘肃电投,0,0,0,0,0,0,1,0,0,0,0,0
智慧农业,0,0,0,0,1,0,0,2,0,5,1,8
山东海化,2,0,0,0,0,0,0,0,0,0,0,0
超声电子,0,0,0,0,0,0,0,0,0,0,0,0
太钢不锈,0,0,1,0,2,4,1,3,2,1,0,3
鲁西化工,0,0,0,0,0,0,0,1,0,0,0,0
承德露露,4,0,0,0,0,8,1,6,1,1,1,6
安凯客车,0,0,0,0,0,0,0,0,0,0,0,0
张裕A,0,2,1,2,5,10,2,11,1,2,3,13
天山股份,3,0,1,0,0,1,0,4,0,0,0,2
潍柴重机,0,0,0,0,0,0,0,0,0,0,0,1
海南高速,0,0,0,0,0,0,0,0,0,0,0,0
峨眉山A,9,1,2,1,1,2,0,8,1,7,1,17
双汇发展,18,2,3,8,1,9,1,13,3,0,4,10
津滨发展,0,0,0,0,0,0,0,0,0,0,0,0
鞍钢股份,4,1,1,1,4,4,1,3,3,2,1,3
现代投资,1,0,0,0,0,0,0,1,0,0,0,2
物产中拓,0,1,2,1,3,2,2,2,0,0,1,2
大亚科技,7,0,2,0,0,2,2,3,0,2,2,3
山大华特,1,1,0,0,0,1,0,0,1,3,1,0
华北高速,0,0,0,0,0,3,0,4,0,0,0,4
金陵药业,2,2,0,0,0,1,0,2,1,0,0,2
海信科龙,4,0,0,0,0,0,0,1,0,0,0,1
佳电股份,0,0,0,0,0,0,0,1,0,1,0,0
河北宣工,0,0,0,0,0,0,0,0,0,0,0,0
中粮生化,0,0,0,0,0,0,0,0,0,0,0,0
中关村,0,1,0,0,0,0,0,0,0,0,0,0
华西股份,3,0,1,3,2,0,0,0,0,0,0,0
冀中能源,1,0,0,1,2,0,0,3,0,0,0,4
中国重汽,2,1,1,0,0,1,0,1,0,0,0,1
中通客车,0,1,2,0,4,0,0,2,1,0,1,2
天保基建,0,0,0,0,0,0,0,0,0,0,0,0
长源电力,0,0,0,0,0,0,0,1,0,0,0,0
西山煤电,0,6,1,0,0,1,0,0,1,0,0,6
大庆华科,0,0,0,0,0,0,0,0,0,0,0,0
闽东电力,0,0,1,0,1,0,0,0,0,0,0,1
隆平高科,0,4,3,4,0,6,2,11,6,3,4,11
华润三九,6,0,0,0,0,3,0,7,0,1,0,5
东信和平,0,0,0,0,0,0,0,0,0,0,0,0
航天电器,0,0,0,0,0,2,0,2,0,0,0,1
思源电气,3,0,4,0,0,2,0,1,1,0,0,4
苏泊尔,7,6,1,2,1,5,1,2,0,0,0,3
丽江旅游,12,4,3,3,2,5,2,8,2,1,1,11
黔源电力,4,0,0,2,0,0,0,1,0,0,0,0
登海种业,2,3,0,0,1,5,1,8,1,1,1,13
中工国际,14,1,5,1,0,7,0,4,0,0,0,5
威尔泰,0,0,0,0,0,1,0,0,0,0,0,0
华峰氨纶,0,0,0,0,0,0,0,0,0,0,0,1
瑞泰科技,0,0,0,0,0,0,0,0,0,0,0,0
孚日股份,1,0,0,0,0,0,0,1,1,1,0,0
生意宝,0,0,0,0,0,0,0,0,0,0,0,2
南岭民爆,0,0,0,0,0,0,0,0,0,0,0,0
天康生物,3,2,0,1,2,1,0,6,0,0,1,14
信隆实业,1,0,0,0,0,0,0,0,0,0,0,0
天马股份,0,0,0,0,0,0,0,1,0,0,0,0
露天煤业,3,0,0,0,0,0,0,0,0,0,0,0
宏达高科,0,0,0,0,0,0,0,0,0,0,0,0
石基信息,5,0,0,3,3,4,2,5,4,0,4,4
中航光电,5,2,0,0,3,5,1,6,6,1,2,5
华天科技,1,0,1,0,2,4,1,7,0,0,0,0
全聚德,5,1,0,1,0,2,1,5,1,0,0,1
广百股份,0,0,0,0,0,1,1,1,0,0,0,3
利达光电,0,0,0,0,0,0,0,0,0,0,0,0
嘉应制药,0,0,0,0,0,0,0,0,0,0,0,1
金风科技,7,1,1,0,2,7,0,10,4,2,1,8
大连重工,0,0,0,0,0,0,0,0,0,0,0,0
国统股份,0,0,0,0,0,0,0,0,0,1,0,0
福晶科技,0,0,0,0,0,0,0,0,0,0,0,0
奥特迅,0,0,0,0,0,0,0,1,0,0,1,1
启明信息,0,0,0,0,0,0,0,0,0,1,0,0
通产丽星,1,0,0,0,0,6,0,6,0,1,1,0
上海莱士,1,1,1,0,0,1,1,2,2,0,1,1
恩华药业,2,6,0,0,0,5,1,0,6,1,0,1
陕天然气,1,0,0,0,0,0,0,1,0,0,1,2
东方雨虹,3,5,0,0,1,9,1,9,3,0,7,5
水晶光电,2,0,2,0,0,1,0,1,0,0,0,0
博深工具,1,0,1,0,0,0,0,0,0,0,0,0
信立泰,7,7,1,1,1,2,0,4,1,0,1,8
博云新材,0,0,0,0,0,0,0,0,0,0,0,1
太阳电缆,0,0,0,0,0,0,0,0,0,0,0,0
洋河股份,2,8,0,0,3,8,2,11,0,3,8,12
北新路桥,0,0,0,0,0,0,0,1,0,0,0,0
海大集团,12,8,2,1,0,6,0,0,10,1,5,12
焦点科技,0,0,0,0,0,1,0,1,0,2,0,5
仙琚制药,2,0,0,1,0,0,0,0,0,0,0,1
赛象科技,0,0,0,0,0,0,0,0,0,0,1,0
奥普光电,0,0,1,0,0,0,0,0,0,0,0,0
漫步者,0,0,0,0,1,0,1,2,0,2,2,0
鼎泰新材,0,0,0,0,0,0,0,0,0,0,0,0
汉王科技,0,0,0,0,0,0,0,0,1,0,0,0
永安药业,1,0,1,0,0,2,1,4,2,3,2,0
伟星新材,1,6,0,0,0,9,1,9,4,1,2,17
大北农,3,8,0,1,0,8,0,10,9,0,6,16
天原集团,0,0,0,0,0,0,0,0,0,0,0,0
长青股份,0,0,0,0,0,0,0,0,0,0,0,2
力生制药,0,0,0,0,0,0,0,1,0,0,0,0
联发股份,0,2,1,3,0,1,0,3,0,0,0,2
天虹商场,3,1,0,1,3,2,3,3,1,1,3,1
毅昌股份,0,0,0,1,0,0,0,0,0,0,0,0
贵州百灵,0,0,0,1,1,0,0,0,0,0,0,1
闰土股份,1,0,0,0,0,2,0,1,0,0,0,1
青龙管业,1,0,0,0,0,0,0,0,0,0,0,0
沪电股份,0,0,0,0,0,1,1,1,0,0,1,0
天齐锂业,11,5,7,0,3,8,1,8,2,1,1,6
常宝股份,2,0,0,0,2,3,0,2,0,1,1,3
江海股份,3,0,1,0,1,4,0,2,0,1,1,2
山东墨龙,1,0,0,0,0,0,0,0,0,0,0,0
雅化集团,0,0,0,0,0,1,0,1,0,0,1,1
天汽模,3,3,0,0,0,3,0,0,0,0,0,0
金杯电工,1,0,0,0,0,0,0,0,0,0,0,0
杭锅股份,4,2,1,2,0,0,0,0,0,0,0,0
亚太科技,0,0,0,0,0,1,2,2,0,0,0,0
徐家汇,0,0,0,0,0,1,0,2,0,0,0,0
双星新材,0,1,0,0,0,0,1,0,0,2,0,0
豪迈科技,8,1,1,0,2,3,0,5,1,0,1,3
哈尔斯,2,0,5,1,0,2,0,2,0,0,0,2
亚玛顿,0,1,2,2,0,1,0,2,3,0,0,4
宜昌交运,0,0,0,0,1,1,0,0,0,0,1,0
永高股份,0,0,1,0,0,2,1,3,0,2,1,5
青青稞酒,0,0,0,0,0,2,0,5,0,1,3,6
雪迪龙,14,3,0,1,0,4,1,0,5,7,0,5
奋达科技,2,0,3,1,0,1,3,3,3,0,0,5
华东重机,0,0,0,0,0,0,0,0,0,0,0,0
远程电缆,0,0,0,0,0,0,0,0,0,0,0,0
新疆浩源,0,0,0,0,0,0,0,0,0,0,0,0
新宝股份,4,0,0,1,1,0,0,0,0,0,0,0
海洋王,0,0,0,0,0,0,0,0,0,0,0,0
龙大肉食,1,0,0,0,0,0,0,2,1,1,0,0
萃华珠宝,0,0,0,0,0,0,0,0,0,0,0,0
燕塘乳业,0,0,0,0,0,0,1,0,2,0,0,0
葵花药业,0,0,0,1,0,3,2,0,2,1,0,0
机器人,10,1,0,1,4,9,0,3,0,0,0,3
天龙光电,0,0,0,0,0,0,0,0,0,0,0,0
同花顺,0,0,0,0,0,3,2,3,1,2,1,3
朗科科技,0,0,0,0,0,0,0,0,0,0,0,0
世纪鼎利,1,2,0,0,3,2,0,5,0,0,0,9
安诺其,0,0,0,0,0,1,0,1,2,0,0,0
三聚环保,6,0,2,2,3,9,1,1,2,1,1,4
达刚路机,1,0,1,1,0,0,0,0,1,2,0,2
龙源技术,0,0,0,0,0,0,0,0,0,0,0,0
建新股份,0,0,0,0,0,0,0,0,0,0,0,0
中航电测,0,0,0,0,0,0,0,0,0,0,0,0
长盈精密,5,2,2,2,1,9,0,12,2,4,7,10
银河磁体,4,0,1,0,1,1,0,3,1,0,1,1
晨光生物,1,2,0,0,0,1,0,1,0,0,1,0
晓程科技,0,0,0,1,0,0,0,0,0,0,0,1
朗源股份,0,0,0,0,0,0,0,0,0,0,0,0
鸿特精密,0,0,0,0,0,0,0,0,0,1,0,0
四方达,0,0,0,0,0,0,0,0,0,0,1,2
高盟新材,0,0,0,0,0,0,0,0,0,0,0,0
舒泰神,0,0,0,0,0,0,0,0,0,0,0,0
森远股份,1,1,1,2,2,3,1,5,4,0,0,0
亿通科技,1,0,0,2,0,0,0,0,0,0,0,0
安利股份,2,1,2,0,0,1,0,3,4,0,1,1
北京君正,0,0,0,0,1,2,0,1,1,0,0,1
银信科技,1,1,0,0,0,2,0,1,2,0,0,1
美晨科技,3,0,0,0,0,2,0,4,1,4,1,4
宝莱特,1,0,0,0,0,0,0,1,0,1,0,1
仟源医药,0,0,0,0,0,0,0,0,0,0,0,0
精锻科技,1,2,2,3,1,0,0,2,0,0,0,2
佳创视讯,0,0,0,0,0,0,0,0,0,1,0,0
中威电子,1,1,1,0,0,0,0,0,0,1,2,3
梅安森,0,0,0,0,0,0,0,0,0,0,0,0
三丰智能,0,0,0,0,0,0,0,0,0,0,0,0
裕兴股份,0,0,0,0,0,0,0,0,0,0,0,1
同大股份,0,0,0,0,0,0,0,0,0,0,0,0
兆日科技,1,2,0,1,0,0,0,1,0,0,0,0
东华测试,0,0,0,1,0,0,0,0,0,0,0,1
我武生物,0,1,0,2,1,0,0,4,0,0,0,0
汇中股份,0,0,0,0,0,0,0,0,0,0,1,2
安硕信息,0,0,0,0,0,0,0,0,0,0,0,3
飞天诚信,0,0,0,0,0,0,0,0,0,0,0,0
艾比森,1,3,2,1,3,2,0,2,1,0,1,3
菲利华,0,0,1,1,1,2,0,0,0,0,0,0
飞凯材料,7,0,2,2,0,6,0,2,1,0,1,3
劲拓股份,2,0,0,1,1,1,0,0,0,1,0,3
地尔汉宇,3,2,1,3,0,2,0,0,0,0,0,3
九强生物,10,3,0,0,0,0,0,0,0,0,0,0
三环集团,5,3,2,1,0,4,1,0,0,0,1,7
白云机场,0,1,2,1,0,0,0,2,1,0,1,1
武钢股份,0,1,1,0,4,3,2,5,3,1,1,9
中国国贸,2,0,0,0,0,1,0,2,0,0,0,1
首创股份,1,0,0,0,0,0,1,0,0,0,2,2
上海机场,16,6,2,3,2,10,1,11,1,3,2,6
包钢股份,0,1,0,0,0,2,0,2,0,0,1,3
华能国际,0,0,0,0,0,0,0,0,0,0,0,0
皖通高速,1,1,0,0,0,0,0,0,1,0,1,0
日照港,0,0,0,0,2,1,0,2,0,0,0,0
上港集团,4,2,1,0,0,2,0,3,0,0,0,4
宝钢股份,7,0,1,0,0,4,1,8,2,3,3,10
中原高速,0,0,0,0,0,0,0,0,0,0,0,0
上海电力,6,0,0,0,0,0,0,3,0,0,1,1
山东钢铁,0,0,1,0,0,2,0,2,0,1,1,2
浙能电力,0,0,0,0,0,1,0,3,0,1,1,2
华电国际,3,0,0,0,0,3,0,6,0,0,0,2
中国石化,6,0,4,3,1,5,1,6,6,1,4,9
南方航空,6,1,3,2,6,4,0,7,3,1,2,9
福建高速,0,0,0,1,0,0,0,0,0,0,0,0
楚天高速,0,0,0,0,0,0,0,1,0,0,0,0
歌华有线,2,0,3,0,5,3,3,9,1,15,2,8
中直股份,4,0,0,0,3,4,2,4,3,0,5,2
保利地产,6,4,9,0,0,11,7,20,2,0,0,0
中国联通,8,4,0,1,2,5,0,2,0,1,1,5
宁波联合,0,0,0,0,0,0,0,0,0,0,0,0
中国医药,0,0,0,0,0,0,0,0,0,1,0,0
古越龙山,2,0,2,1,0,1,0,0,1,1,0,3
南京高科,3,0,0,1,0,3,1,2,2,1,1,2
宇通客车,6,5,5,3,4,14,4,13,2,2,3,6
葛洲坝,1,0,0,0,2,0,0,1,0,1,1,3
海泰发展,0,0,0,0,0,0,0,0,0,0,0,0
同仁堂,6,0,0,4,3,0,0,5,0,1,0,2
中视传媒,0,0,0,0,0,0,0,0,0,0,0,0
云天化,2,0,0,0,1,0,1,3,1,0,0,3
明星电力,0,0,0,0,0,0,0,0,0,0,0,0
亚盛集团,0,0,0,0,0,0,0,2,0,0,0,2
北方稀土,0,0,0,0,0,1,0,1,0,0,0,2
三峡水利,0,0,3,0,1,2,2,0,0,0,0,0
中国卫星,0,0,0,0,0,1,1,7,2,1,5,2
兰花科创,1,0,0,0,0,2,1,3,0,0,0,4
弘业股份,0,0,0,0,0,0,0,0,0,0,0,0
岷江水电,0,0,0,0,0,0,0,0,0,0,0,0
重庆啤酒,0,0,1,2,0,0,0,0,0,0,0,0
乐凯胶片,1,0,0,0,0,0,0,0,0,0,0,0
中青旅,7,0,9,3,1,9,3,23,1,2,3,29
长春一东,0,0,0,0,0,0,0,0,0,0,0,0
中国船舶,0,0,0,0,0,0,0,2,0,0,0,1
维科精华,0,0,0,0,0,0,0,0,0,0,0,0
中体产业,1,0,0,2,1,1,0,1,0,0,1,1
大龙地产,0,0,0,0,0,0,0,0,0,0,0,0
福田汽车,0,0,0,0,1,0,0,0,0,0,0,0
上海贝岭,0,0,0,0,1,0,0,0,0,0,1,0
S佳通,0,0,0,0,0,0,0,0,0,0,0,0
生益科技,1,0,1,0,0,1,0,1,0,0,0,1
光电股份,0,0,1,0,1,1,1,0,0,0,0,2
长城电工,0,0,0,0,0,0,0,0,0,0,0,0
伊力特,0,0,0,0,0,0,0,0,0,0,0,0
大唐电信,0,0,0,0,1,0,0,1,0,1,0,3
金种子酒,0,0,0,0,0,0,0,0,0,0,0,0
紫江企业,0,0,0,0,0,0,0,0,0,0,0,0
亚星客车,0,0,0,0,0,0,0,0,0,0,0,0
浙江医药,0,1,0,0,0,0,0,0,0,0,0,0
太龙药业,0,0,0,0,0,1,0,1,1,3,0,6
鲁商置业,5,0,0,2,0,1,0,2,1,0,1,2
民丰特纸,0,0,0,0,0,1,0,1,0,0,0,2
延长化建,0,0,0,0,0,1,0,0,0,0,0,0
两面针,0,0,0,0,0,0,0,0,0,0,0,3
阳光照明,0,0,0,0,0,2,0,8,2,0,0,8
北方股份,0,1,0,0,0,0,0,0,0,0,0,0
海正药业,0,0,0,0,0,1,0,1,0,0,0,1
国电南自,0,0,0,0,0,0,0,0,0,0,1,0
赣粤高速,0,0,0,0,0,0,0,1,0,0,1,0
外运发展,8,3,3,6,1,5,0,3,2,1,2,4
开开实业,0,0,0,0,0,0,0,0,0,0,0,0
恒瑞医药,0,8,3,2,5,13,8,11,4,4,3,14
重庆港九,1,0,0,0,0,0,0,0,0,0,0,0
钱江水利,1,0,1,0,1,0,0,0,0,0,0,1
浦东建设,2,0,0,0,0,0,0,1,0,0,0,0
江苏舜天,0,0,0,0,0,0,0,0,0,0,0,1
鄂尔多斯,0,0,0,0,0,0,0,0,0,0,0,0
安琪酵母,14,8,12,2,3,7,2,7,12,1,0,6
标准股份,0,0,0,0,0,0,0,0,0,0,0,0
恒顺醋业,7,2,3,0,0,14,1,13,4,1,1,5
洪都航空,1,0,0,0,1,0,0,0,0,0,0,1
营口港,0,0,0,0,0,0,0,0,0,0,0,0
振华重工,0,0,0,0,0,0,0,0,0,0,0,0
天房发展,0,0,0,0,1,0,0,1,0,0,0,0
中新药业,0,0,0,1,1,0,2,3,1,1,3,3
航天动力,0,0,0,0,0,0,0,0,0,0,0,0
长江通信,0,0,0,0,0,0,0,0,0,0,0,0
阳泉煤业,0,0,0,0,1,2,0,4,0,0,0,8
山东高速,2,0,0,0,1,0,0,2,1,3,1,0
华联综超,0,0,0,0,0,1,0,0,0,0,0,0
红星发展,0,0,0,0,0,0,0,0,0,0,0,1
三房巷,0,0,0,0,0,0,0,0,0,0,0,0
中文传媒,0,1,0,0,0,1,1,1,0,3,2,0
宁沪高速,7,2,1,0,1,0,1,3,0,1,0,2
北巴传媒,0,0,0,0,0,0,0,0,0,0,0,0
安源煤业,0,0,0,0,0,1,0,2,1,2,3,6
大有能源,0,0,0,0,0,1,0,2,0,0,0,5
国电南瑞,1,0,4,1,0,3,1,5,0,0,0,3
仰帆控股,0,0,0,0,0,0,0,0,0,0,0,0
柳化股份,0,0,0,0,0,0,0,0,0,0,0,0
青松建化,0,0,0,0,1,0,0,0,0,0,0,1
宁夏建材,2,0,0,0,0,0,0,2,0,0,0,2
宝钛股份,0,0,1,1,0,1,0,0,0,0,0,2
时代新材,0,0,0,0,1,0,0,0,0,1,0,0
贵研铂业,0,0,0,0,0,0,1,2,0,0,0,3
士兰微,0,1,0,0,0,1,0,3,1,1,0,1
凌云股份,0,0,0,0,0,0,0,1,1,1,0,0
晋西车轴,0,0,0,0,0,0,0,0,0,0,0,0
香梨股份,0,0,0,0,0,0,0,0,0,0,0,0
方大特钢,0,1,0,0,0,5,0,4,0,1,0,1
上海能源,1,0,0,0,0,0,0,0,0,0,0,0
天富能源,0,0,0,0,0,0,2,0,0,0,0,0
黑牡丹,0,0,0,0,0,1,0,1,0,0,0,0
联环药业,0,0,0,0,0,0,0,0,0,0,0,3
贵州茅台,26,5,3,6,0,23,2,22,4,1,2,26
贵航股份,0,0,0,0,0,0,0,0,0,0,0,0
江南高纤,0,0,0,0,0,0,0,0,1,0,0,1
天士力,11,1,0,1,1,8,1,12,1,0,2,17
莫高股份,0,0,0,0,0,0,0,0,0,0,0,0
新疆城建,0,0,0,0,0,0,0,1,0,0,0,0
厦门钨业,2,0,0,0,0,1,2,3,1,0,1,4
保变电气,0,0,0,0,0,0,0,0,0,0,0,1
时代出版,1,0,1,0,3,0,0,0,0,0,1,0
康缘药业,0,0,0,0,0,2,0,5,0,5,1,7
老白干酒,0,0,0,0,0,8,2,1,6,0,0,6
金自天正,0,0,0,0,0,0,0,0,0,0,0,1
法拉电子,6,0,3,1,4,3,0,3,0,0,0,2
惠泉啤酒,0,0,0,0,0,0,0,0,0,0,0,0
海油工程,5,0,2,1,0,6,1,7,1,0,0,3
海螺水泥,15,0,0,1,1,9,0,11,0,3,1,9
金晶科技,1,0,0,0,0,0,0,0,0,0,0,0
青岛啤酒,4,1,0,1,1,5,0,7,2,2,0,3
神奇制药,0,0,0,0,0,0,0,0,0,0,0,1
丰华股份,0,0,0,0,0,0,0,0,0,0,0,0
金枫酒业,0,0,0,0,0,0,0,1,0,0,1,0
国新能源,1,0,0,0,0,1,0,1,1,0,0,3
氯碱化工,0,0,0,0,0,0,0,0,0,0,0,0
龙头股份,1,0,0,0,0,0,0,0,0,0,0,0
三爱富,2,0,1,0,0,0,0,1,0,0,0,0
新黄浦,0,0,0,0,0,0,0,0,0,0,0,0
号百控股,0,0,1,0,1,0,0,1,0,0,1,2
申能股份,0,0,0,0,1,0,0,3,0,1,0,5
锦江投资,1,0,1,0,0,0,0,1,0,0,0,0
福耀玻璃,8,0,0,0,4,4,0,1,5,0,1,4
强生控股,0,0,0,0,1,0,1,0,0,0,0,0
天地源,0,0,0,0,0,0,0,0,0,0,0,0
尖峰集团,0,0,0,0,0,0,0,0,0,0,0,1
川投能源,2,0,2,0,1,1,2,6,1,0,0,6
上海普天,0,0,0,0,0,0,0,0,0,0,0,0
珠江实业,0,0,0,0,0,0,0,0,0,0,0,0
中船防务,2,0,1,0,0,0,0,2,0,0,1,1
上海石化,0,0,0,0,0,0,0,0,0,0,0,0
亚通股份,0,0,0,0,0,0,0,0,0,0,0,0
大商股份,0,0,0,0,0,3,0,2,2,1,0,3
湖南天雁,0,0,0,0,0,0,0,0,0,0,0,0
南宁百货,0,0,0,0,0,0,0,0,0,0,0,0
天津港,1,0,0,0,0,0,0,1,0,0,0,0
祁连山,6,0,1,0,0,5,0,4,1,1,2,2
首商股份,2,0,0,0,2,0,0,2,0,0,1,1
宁波富达,0,0,0,0,0,0,0,0,0,0,0,0
华电能源,0,0,0,0,0,0,0,0,0,0,0,0
中粮屯河,0,0,0,0,0,0,0,0,0,0,0,1
一汽富维,0,0,0,0,1,0,0,1,0,0,0,2
江中药业,0,0,0,0,0,4,0,5,1,0,1,3
厦门国贸,0,0,0,0,1,0,0,0,0,0,0,0
长江传媒,0,0,0,0,0,0,0,0,0,0,0,0
安徽合力,2,0,0,1,0,1,0,3,0,1,3,1
西藏城投,0,0,0,0,0,0,0,0,0,0,0,0
南京熊猫,1,1,1,2,0,0,0,0,0,0,0,0
新钢股份,0,0,1,0,1,1,1,2,0,0,0,4
鲁抗医药,0,0,0,0,0,0,0,0,0,0,0,0
